strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	division_exposure	location	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	Publication doi if not on GenBank	date_submitted	note
USA/WA-UW279/2020	ncov	EPI_ISL_418064	MT259271	2020-03-15	North America	USA	Washington	Washington		genome	29864	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW280/2020	ncov	EPI_ISL_418065	MT259272	2020-03-13	North America	USA	Washington	Washington		genome	29481	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW282/2020	ncov	EPI_ISL_418067	MT259273	2020-03-15	North America	USA	Washington	Washington		genome	29892	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW284/2020	ncov	EPI_ISL_418069	MT259274	2020-03-14	North America	USA	Washington	Washington		genome	29846	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW285/2020	ncov	EPI_ISL_418070	MT259275	2020-03-14	North America	USA	Washington	Washington		genome	29841	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW286/2020	ncov	EPI_ISL_418071	MT259276	2020-03-15	North America	USA	Washington	Washington		genome	29872	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW287/2020	ncov	EPI_ISL_418072	MT259277	2020-03-15	North America	USA	Washington	Washington		genome	29881	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW288/2020	ncov	EPI_ISL_418073	MT259278	2020-03-15	North America	USA	Washington	Washington		genome	29897	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW289/2020	ncov	EPI_ISL_418074	MT259279	2020-03-15	North America	USA	Washington	Washington		genome	29502	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW290/2020	ncov	EPI_ISL_418075	MT259280	2020-03-15	North America	USA	Washington	Washington		genome	29684	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW291/2020	ncov	EPI_ISL_418076	MT259281	2020-03-15	North America	USA	Washington	Washington		genome	29839	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW292/2020	ncov	EPI_ISL_418077	MT259282	2020-03-15	North America	USA	Washington	Washington		genome	29845	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW293/2020	ncov	EPI_ISL_418078	MT259283	2020-03-15	North America	USA	Washington	Washington		genome	29326	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW294/2020	ncov	EPI_ISL_418079	MT259284	2020-03-15	North America	USA	Washington	Washington		genome	29503	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW295/2020	ncov	EPI_ISL_418080	MT259285	2020-03-15	North America	USA	Washington	Washington		genome	29831	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW296/2020	ncov	EPI_ISL_418081	MT259286	2020-03-15	North America	USA	Washington	Washington		genome	29857	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-UW297/2020	ncov	EPI_ISL_418082	MT259287	2020-03-15	North America	USA	Washington	Washington		genome	29688	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-28	
USA/WA-NH2/2020	ncov	EPI_ISL_418771	MT262896	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH3/2020	ncov	EPI_ISL_418772	MT262897	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH4/2020	ncov	EPI_ISL_418773	MT262898	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH5/2020	ncov	EPI_ISL_418774	MT262899	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH6/2020	ncov	EPI_ISL_418775	MT262900	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH7/2020	ncov	EPI_ISL_418776	MT262901	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH8/2020	ncov	EPI_ISL_418777	MT262902	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Zhang et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH9/2020	ncov	EPI_ISL_418778	MT262903	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH10/2020	ncov	EPI_ISL_418779	MT262904	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH11/2020	ncov	EPI_ISL_418780	MT262905	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH12/2020	ncov	EPI_ISL_418781	MT262906	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH14/2020	ncov	EPI_ISL_418783	MT262907	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH17/2020	ncov	EPI_ISL_418784	MT262908	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH18/2020	ncov	EPI_ISL_418785	MT262909	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH19/2020	ncov	EPI_ISL_418786	MT262910	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH20/2020	ncov	EPI_ISL_418787	MT262911	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH21/2020	ncov	EPI_ISL_418788	MT262912	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH22/2020	ncov	EPI_ISL_418789	MT262913	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH24/2020	ncov	EPI_ISL_418791	MT262914	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH13/2020	ncov	EPI_ISL_418782	MT262915	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-NH23/2020	ncov	EPI_ISL_418790	MT262916	2020-03-13	North America	USA	Washington	Washington		genome	29882	Human	?	?	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Tao et al	https://www.gisaid.org	?	2020-03-30	
USA/WA-UW298/2020	ncov	EPI_ISL_418866	MT263381	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW299/2020	ncov	EPI_ISL_418867	MT263382	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW300/2020	ncov	EPI_ISL_418868	MT263383	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW301/2020	ncov	EPI_ISL_418869	MT263384	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW302/2020	ncov	EPI_ISL_418870	MT263385	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW303/2020	ncov	EPI_ISL_418871	MT263386	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW304/2020	ncov	EPI_ISL_418872	MT263387	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW305/2020	ncov	EPI_ISL_418873	MT263388	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW307/2020	ncov	EPI_ISL_418875	MT263390	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW308/2020	ncov	EPI_ISL_418876	MT263391	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW310/2020	ncov	EPI_ISL_418878	MT263392	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW312/2020	ncov	EPI_ISL_418879	MT263393	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW313/2020	ncov	EPI_ISL_418880	MT263394	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW314/2020	ncov	EPI_ISL_418881	MT263395	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW315/2020	ncov	EPI_ISL_418882	MT263396	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW316/2020	ncov	EPI_ISL_418883	MT263397	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW317/2020	ncov	EPI_ISL_418884	MT263398	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW319/2020	ncov	EPI_ISL_418886	MT263399	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW320/2020	ncov	EPI_ISL_418887	MT263400	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW321/2020	ncov	EPI_ISL_418888	MT263401	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW322/2020	ncov	EPI_ISL_418889	MT263402	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW323/2020	ncov	EPI_ISL_418890	MT263403	2020-03-20	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW324/2020	ncov	EPI_ISL_418891	MT263404	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW325/2020	ncov	EPI_ISL_418892	MT263405	2020-03-21	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW326/2020	ncov	EPI_ISL_418893	MT263406	2020-03-21	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW327/2020	ncov	EPI_ISL_418894	MT263407	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW328/2020	ncov	EPI_ISL_418895	MT263408	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW329/2020	ncov	EPI_ISL_418896	MT263409	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW330/2020	ncov	EPI_ISL_418897	MT263410	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW331/2020	ncov	EPI_ISL_418898	MT263411	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW332/2020	ncov	EPI_ISL_418899	MT263412	2020-03-22	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW333/2020	ncov	EPI_ISL_418900	MT263413	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW334/2020	ncov	EPI_ISL_418901	MT263414	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW335/2020	ncov	EPI_ISL_418902	MT263415	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW336/2020	ncov	EPI_ISL_418903	MT263416	2020-03-21	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW337/2020	ncov	EPI_ISL_418904	MT263417	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW338/2020	ncov	EPI_ISL_418905	MT263418	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW339/2020	ncov	EPI_ISL_418906	MT263419	2020-03-20	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW340/2020	ncov	EPI_ISL_418907	MT263420	2020-03-20	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW341/2020	ncov	EPI_ISL_418908	MT263421	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW342/2020	ncov	EPI_ISL_418909	MT263422	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW343/2020	ncov	EPI_ISL_418910	MT263423	2020-03-23	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW344/2020	ncov	EPI_ISL_418911	MT263424	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW345/2020	ncov	EPI_ISL_418912	MT263425	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW346/2020	ncov	EPI_ISL_418913	MT263426	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW347/2020	ncov	EPI_ISL_418914	MT263427	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW348/2020	ncov	EPI_ISL_418915	MT263428	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW349/2020	ncov	EPI_ISL_418916	MT263429	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW350/2020	ncov	EPI_ISL_418917	MT263430	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW351/2020	ncov	EPI_ISL_418918	MT263431	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW352/2020	ncov	EPI_ISL_418919	MT263432	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW353/2020	ncov	EPI_ISL_418920	MT263433	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW354/2020	ncov	EPI_ISL_418921	MT263434	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW355/2020	ncov	EPI_ISL_418922	MT263435	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW356/2020	ncov	EPI_ISL_418923	MT263436	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW357/2020	ncov	EPI_ISL_418924	MT263437	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW358/2020	ncov	EPI_ISL_418925	MT263438	2020-03-24	North America	USA				genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW359/2020	ncov	EPI_ISL_418926	MT263439	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW360/2020	ncov	EPI_ISL_418927	MT263440	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW361/2020	ncov	EPI_ISL_418928	MT263441	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW362/2020	ncov	EPI_ISL_418929	MT263442	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW363/2020	ncov	EPI_ISL_418930	MT263443	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW364/2020	ncov	EPI_ISL_418931	MT263444	2020-03-20	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW365/2020	ncov	EPI_ISL_418932	MT263445	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW366/2020	ncov	EPI_ISL_418933	MT263446	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW367/2020	ncov	EPI_ISL_418934	MT263447	2020-03-14	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW368/2020	ncov	EPI_ISL_418935	MT263448	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW369/2020	ncov	EPI_ISL_418936	MT263449	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW370/2020	ncov	EPI_ISL_418937	MT263450	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW371/2020	ncov	EPI_ISL_418938	MT263451	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW372/2020	ncov	EPI_ISL_418939	MT263452	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW373/2020	ncov	EPI_ISL_418940	MT263453	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW374/2020	ncov	EPI_ISL_418941	MT263454	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW375/2020	ncov	EPI_ISL_418942	MT263455	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
USA/WA-UW376/2020	ncov	EPI_ISL_418943	MT263456	2020-03-24	North America	USA	Washington	Washington		genome	29911	Human	?	?	UW Virology Lab	UW Virology Lab	Roychoudhury et al	https://www.gisaid.org	?	2020-03-31	
